Bike Name,Model,Manufacturer,Avg Lifespan (years),Demand,Base Price (INR),Base Price (USD)
Speedster,MX200,Yamaha,13,Low,117331,1407.97
Storm,ZR700,Hero,7,High,174027,2088.32
Cruiser,ZR700,Honda,12,High,191681,2300.17
Speedster,GT500,KTM,11,Low,108251,1299.01
Storm,Pro300,Suzuki,10,Low,125322,1503.86
Racer,ZR700,BMW,5,Medium,75625,907.5
Speedster,ZR700,BMW,7,Low,135564,1626.77
Rogue,GT500,KTM,8,High,133111,1597.33
Speedster,X100,Hero,12,Low,87403,1048.84
Rogue,Pro300,Honda,12,Medium,198912,2386.94
Rogue,X100,Yamaha,12,High,79187,950.24
Storm,GT500,Honda,7,Low,152603,1831.24
Storm,MX200,Suzuki,12,Medium,122976,1475.71
Falcon,GT500,Hero,7,Low,132890,1594.68
Racer,X100,BMW,9,Medium,59258,711.1
Storm,MX200,BMW,14,High,156261,1875.13
Storm,X100,BMW,14,Medium,162206,1946.47
Speedster,MX200,Yamaha,8,High,102178,1226.14
Rogue,GT500,KTM,9,Medium,138167,1658
Rogue,TX900,Yamaha,12,High,187306,2247.67
Rogue,X100,Hero,12,Medium,137001,1644.01
Racer,MX200,Hero,5,High,121415,1456.98
Speedster,ZR700,BMW,8,Medium,108531,1302.37
Falcon,ZR700,KTM,6,High,102931,1235.17
Speedster,GT500,Suzuki,7,High,166302,1995.62
Cruiser,ZR700,Suzuki,6,Medium,183829,2205.95
Rogue,TX900,Suzuki,5,Low,61448,737.38
Cruiser,X100,Suzuki,7,Low,129433,1553.2
Speedster,ZR700,Honda,6,High,65808,789.7
Cruiser,Pro300,Hero,14,High,186597,2239.16
Falcon,X100,KTM,7,Medium,155301,1863.61
Falcon,Pro300,KTM,6,Low,54842,658.1
Cruiser,GT500,KTM,11,Medium,146422,1757.06
Speedster,MX200,BMW,13,Low,134371,1612.45
Speedster,ZR700,Yamaha,6,Low,183992,2207.9
Cruiser,X100,Yamaha,8,Medium,98468,1181.62
Storm,ZR700,Suzuki,8,Low,135499,1625.99
Racer,ZR700,Hero,14,Medium,165728,1988.74
Speedster,X100,Honda,8,Medium,158537,1902.44
Speedster,X100,Yamaha,14,Low,107761,1293.13
Rogue,Pro300,KTM,6,Low,55772,669.26
Storm,GT500,BMW,8,High,197113,2365.36
Falcon,X100,BMW,10,High,85754,1029.05
Racer,ZR700,KTM,11,Medium,187815,2253.78
Speedster,MX200,Yamaha,13,High,166148,1993.78
Racer,X100,Suzuki,9,Low,70274,843.29
Falcon,Pro300,Honda,5,Low,158245,1898.94
Rogue,MX200,BMW,14,Low,175504,2106.05
Speedster,ZR700,Yamaha,9,High,52375,628.5
Cruiser,TX900,Hero,9,High,112160,1345.92
Rogue,X100,BMW,12,High,84857,1018.28
Racer,Pro300,Hero,11,Medium,144859,1738.31
Speedster,TX900,BMW,8,Low,155224,1862.69
Cruiser,X100,Suzuki,13,Medium,83476,1001.71
Speedster,Pro300,Hero,10,Medium,121222,1454.66
Racer,TX900,Suzuki,5,High,171051,2052.61
Cruiser,GT500,KTM,11,Low,104713,1256.56
Speedster,TX900,Suzuki,14,Medium,101454,1217.45
Storm,GT500,Honda,9,Low,187960,2255.52
Speedster,TX900,Hero,14,High,105434,1265.21
Cruiser,GT500,Yamaha,14,Low,102379,1228.55
Cruiser,MX200,Honda,14,High,105096,1261.15
Rogue,GT500,Honda,10,Medium,132944,1595.33
Racer,GT500,Yamaha,14,Medium,169749,2036.99
Speedster,TX900,Hero,10,Medium,170599,2047.19
Falcon,GT500,Hero,12,Medium,161848,1942.18
Rogue,MX200,BMW,15,Low,152806,1833.67
Cruiser,Pro300,Suzuki,5,Low,171037,2052.44
Cruiser,ZR700,BMW,7,Low,195904,2350.85
Rogue,GT500,Suzuki,15,Medium,82170,986.04
Storm,GT500,Yamaha,7,High,185902,2230.82
Falcon,Pro300,Honda,9,Low,178403,2140.84
Falcon,ZR700,KTM,10,High,73254,879.05
Speedster,X100,Honda,6,High,97657,1171.88
Storm,MX200,BMW,15,Medium,177421,2129.05
Rogue,ZR700,KTM,10,Medium,141684,1700.21
Racer,ZR700,Hero,15,Medium,117933,1415.2
Speedster,TX900,BMW,10,Medium,178742,2144.9
Cruiser,Pro300,BMW,14,Medium,141878,1702.54
Racer,X100,Hero,13,High,105193,1262.32
Cruiser,MX200,Honda,9,Low,130667,1568
Racer,Pro300,KTM,15,Low,69665,835.98
Rogue,GT500,Suzuki,10,Medium,141205,1694.46
Storm,TX900,Honda,5,Medium,75017,900.2
Racer,MX200,Suzuki,13,High,192679,2312.15
Storm,TX900,Honda,8,Medium,156941,1883.29
Rogue,Pro300,Suzuki,9,Low,94743,1136.92
Storm,TX900,BMW,7,High,155086,1861.03
Cruiser,GT500,Honda,13,High,174981,2099.77
Rogue,Pro300,Suzuki,13,Low,170223,2042.68
Rogue,X100,Honda,15,High,134108,1609.3
Racer,X100,Hero,8,Low,173785,2085.42
Racer,ZR700,Suzuki,7,Low,103115,1237.38
Storm,TX900,BMW,6,Low,70958,851.5
Speedster,Pro300,BMW,7,Low,148596,1783.15
Racer,MX200,Hero,15,High,153408,1840.9
Rogue,ZR700,KTM,14,Low,129969,1559.63
Storm,ZR700,Suzuki,14,Low,134384,1612.61
Cruiser,Pro300,Honda,15,High,125358,1504.3
Falcon,TX900,Honda,6,Low,99176,1190.11
Storm,X100,KTM,8,Low,184512,2214.14
Rogue,MX200,Honda,11,Medium,146792,1761.5
Storm,TX900,Honda,13,High,179653,2155.84
Cruiser,GT500,KTM,5,Low,62800,753.6
Cruiser,TX900,Hero,10,Medium,160185,1922.22
Storm,MX200,KTM,5,Low,113875,1366.5
Cruiser,ZR700,Honda,12,Medium,66519,798.23
Speedster,ZR700,Yamaha,13,Low,174892,2098.7
Storm,ZR700,Yamaha,5,Medium,114250,1371
Falcon,Pro300,Hero,9,Medium,77272,927.26
Speedster,GT500,KTM,8,High,98814,1185.77
Storm,TX900,BMW,8,High,105308,1263.7
Rogue,X100,Hero,7,Medium,121701,1460.41
Cruiser,ZR700,Hero,12,Medium,158460,1901.52
Storm,X100,Yamaha,11,Medium,59579,714.95
Rogue,TX900,Honda,9,Medium,170136,2041.63
Falcon,TX900,Yamaha,9,Low,124418,1493.02
Racer,TX900,Honda,14,High,162215,1946.58
Racer,X100,Yamaha,7,Low,196231,2354.77
Speedster,X100,Hero,15,Low,163222,1958.66
Rogue,MX200,Hero,8,Low,58103,697.24
Rogue,TX900,BMW,10,High,157057,1884.68
Racer,Pro300,Yamaha,5,Low,61409,736.91
Cruiser,Pro300,Yamaha,8,Medium,168692,2024.3
Cruiser,X100,BMW,8,Medium,77838,934.06
Storm,X100,KTM,5,High,101541,1218.49
Racer,ZR700,BMW,7,Low,190829,2289.95
Speedster,GT500,Suzuki,12,High,58635,703.62
Falcon,X100,Hero,5,Low,187704,2252.45
Rogue,ZR700,BMW,12,Medium,57699,692.39
Speedster,GT500,Yamaha,8,High,140170,1682.04
Storm,GT500,Honda,10,High,170599,2047.19
Cruiser,MX200,Hero,13,Medium,187923,2255.08
Rogue,X100,BMW,11,High,138020,1656.24
Speedster,GT500,BMW,10,Low,81335,976.02
Speedster,GT500,Honda,13,High,96200,1154.4
Speedster,ZR700,KTM,8,Medium,74845,898.14
Cruiser,GT500,KTM,8,Medium,182578,2190.94
Rogue,Pro300,KTM,13,Medium,126261,1515.13
Falcon,MX200,Suzuki,10,Low,93822,1125.86
Rogue,GT500,Suzuki,10,High,180666,2167.99
Cruiser,MX200,Suzuki,9,Medium,119669,1436.03
Rogue,X100,Honda,5,Medium,189677,2276.12
Rogue,TX900,Yamaha,8,Medium,113505,1362.06
Storm,GT500,BMW,12,High,162797,1953.56
Storm,MX200,KTM,7,Low,83745,1004.94
Speedster,ZR700,Suzuki,15,Medium,193279,2319.35
Speedster,X100,Yamaha,11,High,138868,1666.42
Rogue,TX900,Hero,9,High,166357,1996.28
Rogue,X100,Hero,5,Medium,85513,1026.16
Rogue,TX900,Yamaha,12,High,181699,2180.39
Rogue,MX200,Hero,7,Low,84166,1009.99
Cruiser,TX900,Suzuki,5,High,66662,799.94
Speedster,X100,KTM,12,High,128863,1546.36
Speedster,GT500,Yamaha,13,Medium,160755,1929.06
Rogue,TX900,Hero,6,High,179602,2155.22
Storm,TX900,Yamaha,5,Medium,82312,987.74
Racer,MX200,Yamaha,9,Medium,82855,994.26
Speedster,ZR700,Honda,10,Low,176140,2113.68
Cruiser,TX900,KTM,11,Medium,145667,1748
Speedster,ZR700,KTM,5,High,114101,1369.21
Speedster,TX900,Honda,12,Medium,185718,2228.62
Storm,Pro300,Honda,6,Low,199426,2393.11
Racer,GT500,Hero,5,Medium,187933,2255.2
Speedster,MX200,Yamaha,5,Medium,158040,1896.48
Racer,GT500,Honda,15,Low,170060,2040.72
Racer,Pro300,BMW,10,High,147336,1768.03
Racer,Pro300,Hero,10,Low,146044,1752.53
Rogue,GT500,KTM,6,Medium,96350,1156.2
Racer,X100,Honda,8,High,170262,2043.14
Rogue,GT500,BMW,7,High,79048,948.58
Rogue,Pro300,Yamaha,12,Low,172467,2069.6
Rogue,MX200,BMW,8,Medium,100471,1205.65
Storm,GT500,Suzuki,5,High,78701,944.41
Falcon,GT500,Yamaha,6,Medium,107495,1289.94
Racer,ZR700,KTM,6,Medium,193389,2320.67
Speedster,X100,KTM,9,Medium,147990,1775.88
Rogue,TX900,KTM,11,High,90868,1090.42
Storm,X100,Suzuki,14,Medium,77634,931.61
Cruiser,MX200,BMW,11,Low,78421,941.05
Rogue,Pro300,Yamaha,15,Low,66848,802.18
Rogue,ZR700,BMW,5,Low,77435,929.22
Cruiser,TX900,KTM,13,Low,176358,2116.3
Storm,TX900,Yamaha,5,Medium,108013,1296.16
Cruiser,GT500,Yamaha,12,Medium,198170,2378.04
